Complexity,Loss,Equation
1,24515.58,"x0"
2,22211.48,"square(x2)"
3,16984.006,"inv(exp(x3))"
4,11759.375,"exp(0.9986982 - x3)"
6,11209.566,"(2.5948496 / exp(x3)) + 23.99663"
7,9304.34,"(2.6952698 / exp(x3)) + square(x2)"
8,7160.8354,"(square(x2) + inv(exp(x3))) * x0"
9,4003.8762,"((square(x2) - square(x3)) * x3) * x0"
10,1589.8488,"((square(x2) * x3) + inv(exp(x3))) * x0"
12,805.57837,"x0 * ((square(x2) * (x3 / 1.2674965)) + inv(exp(x3)))"
13,206.68472,"(((x1 + square(0.42670655 * x2)) * square(x3)) * x0) * 1.4363992"
14,3.9311698e-10,"((x0 * ((square(x1) + square(x2)) * square(x3))) * 0.25) + 4.9734297e-7"
16,3.9264486e-10,"((0.25 * ((square(x3) * (square(x1) + square(x2))) * x0)) - 0.026666611) - -0.026666995"
