Complexity,Loss,Equation
1,24515.58,"x0"
2,22211.48,"square(x2)"
3,16984.006,"inv(exp(x3))"
4,11759.375,"2.7148097 / exp(x3)"
6,11209.566,"(2.5949109 / exp(x3)) + 23.98845"
7,9304.713,"square(x2) + exp(0.9968388 - x3)"
8,7160.8354,"(square(x2) + inv(exp(x3))) * x0"
9,4808.527,"square(x2 - (square(x3) * 0.4874101)) * x0"
10,1589.8488,"(inv(exp(x3)) + (square(x2) * x3)) * x0"
11,1544.0162,"square(x3 * ((x2 - x1) * sin(-0.46690568))) * x0"
12,617.3895,"x0 * square(((x2 + (x1 / -1.2975376)) * -0.49255347) * x3)"
13,606.59155,"x0 * square(x3 * ((x2 + (x1 / -1.2975376)) * sin(0.52242166)))"
14,328.47083,"(x0 - 0.1250539) * square(((x2 + (x1 / -1.2975376)) * 0.52242166) * x3)"
15,197.70059,"(x0 - square(0.54317343)) * square(x3 * (((x1 / -1.2975376) + x2) * 0.54317343))"
16,126.81832,"(x0 * square(((((x1 + x0) / -1.3095433) + x2) * -0.3813901) * x3)) + x3"
17,74.56895,"(square((-0.5132106 * (((sin(x2) / 1.2317613) * x1) + x2)) * x3) * x0) - x2"
19,44.406376,"(square(x3 * (-0.4847656 * ((sin((x2 / 0.09345796) * 1.4462099) * x1) + x2))) * x0) + x0"
20,24.624346,"(square(x3 * (((sin(-0.36005467 + inv(x2)) * (x1 * 0.86247146)) + x2) * -0.5098968)) * x0) + x3"
